"Plugin","Version","Type","Category","Rule_Or_Check","File_Location","Message","Severity","Qty"
"PakCLI Table","1.0.40","Obsidian-Official-Community","Passed","Build verified against source.","General / Release Assets","Build verified against source.","Pass","1"
"PakCLI Table","1.0.40","Obsidian-Official-Community","Passed","The main.js release asset has a verified GitHub artifact attestation.","General / Release Assets","The main.js release asset has a verified GitHub artifact attestation.","Pass","1"
"PakCLI Table","1.0.40","Obsidian-Official-Community","Passed","The styles.css release asset has a verified GitHub artifact attestation.","General / Release Assets","The styles.css release asset has a verified GitHub artifact attestation.","Pass","1"
"PakCLI Table","1.0.40","Obsidian-Official-Community","Passed","Vault Read: Reads individual vault files via the Obsidian API (vault.read; vault.cachedRead)","General / Release Assets","Vault Read: Reads individual vault files via the Obsidian API (vault.read; vault.cachedRead)","Pass","1"
"PakCLI Table","1.0.40","Obsidian-Official-Community","Passed","Vault Write: Creates or modifies vault files via the Obsidian API (vault.modify; vault.create; etc.)","General / Release Assets","Vault Write: Creates or modifies vault files via the Obsidian API (vault.modify; vault.create; etc.)","Pass","1"
"PakCLI Table","1.0.40","Obsidian-Official-Community","Passed","No vulnerable dependencies found.","General / Release Assets","No vulnerable dependencies found.","Pass","1"
"PakCLI Table","1.0.40","Obsidian-Official-Community","Disclosures","Number of network request calls","General / Release Assets","Number of network request calls","Disclosure","1"
"PakCLI Table","1.0.40","Obsidian-Official-Community","Disclosures","Code uses runtime base64 encode or decode calls","General / Release Assets","Code uses runtime base64 encode or decode calls","Disclosure","1"
"PakCLI Table","1.0.40","Obsidian-Official-Community","Disclosures","WASM module (inline WASM blob #1) exports its linear memory","General / Release Assets","WASM module (inline WASM blob #1) exports its linear memory","Disclosure","1"
"PakCLI Table","1.0.40","Obsidian-Official-Community","Disclosures","Malware scan not available.","General / Release Assets","Malware scan not available.","Disclosure","1"
"PakCLI Table","1.0.40","Obsidian-Official-Community","Disclosures","Obfuscation scan not available.","General / Release Assets","Obfuscation scan not available.","Disclosure","1"
"PakCLI Table","1.0.40","Obsidian-Official-Community","Disclosures","Network requests scan not available.","General / Release Assets","Network requests scan not available.","Disclosure","1"
"PakCLI Table","1.0.40","Obsidian-Official-Community","Warnings","Unsafe member access on an error or any typed value","General / Release Assets","Unsafe member access on an error or any typed value","Warning","4298"
"PakCLI Table","1.0.40","Obsidian-Official-Community","Warnings","Unsafe call of an error or any typed value","General / Release Assets","Unsafe call of an error or any typed value","Warning","4028"
"PakCLI Table","1.0.40","Obsidian-Official-Community","Warnings","Unsafe assignment of an error or any typed value","General / Release Assets","Unsafe assignment of an error or any typed value","Warning","2161"
"PakCLI Table","1.0.40","Obsidian-Official-Community","Warnings","Passes unsafe values into typed parameters","General / Release Assets","Passes unsafe values into typed parameters","Warning","450"
"PakCLI Table","1.0.40","Obsidian-Official-Community","Warnings","Returns unsafe values from typed code","General / Release Assets","Returns unsafe values from typed code","Warning","414"
"PakCLI Table","1.0.40","Obsidian-Official-Community","Warnings","Unexpected any. Specify a different type.","General / Release Assets","Unexpected any. Specify a different type.","Warning","120"
"PakCLI Table","1.0.40","Obsidian-Official-Community","Warnings","Uses document.createElement instead of Obsidian's createEl helpers","General / Release Assets","Uses document.createElement instead of Obsidian's createEl helpers","Warning","98"
"PakCLI Table","1.0.40","Obsidian-Official-Community","Warnings","Promises must be awaited; end with a call to .catch; end with a call to .then with a rejection handler or be explicitly marked as ignored with the void operator.","General / Release Assets","Promises must be awaited; end with a call to .catch; end with a call to .then with a rejection handler or be explicitly marked as ignored with the void operator.","Warning","42"
"PakCLI Table","1.0.40","Obsidian-Official-Community","Warnings","'error' type that acts as 'any' and overrides all other types in this union type","General / Release Assets","'error' type that acts as 'any' and overrides all other types in this union type","Warning","24"
"PakCLI Table","1.0.40","Obsidian-Official-Community","Warnings","This assertion is unnecessary since it does not change the type of the expression.","General / Release Assets","This assertion is unnecessary since it does not change the type of the expression.","Warning","23"
"PakCLI Table","1.0.40","Obsidian-Official-Community","Warnings","This assertion is unnecessary since the receiver accepts the original type of the expression.","General / Release Assets","This assertion is unnecessary since the receiver accepts the original type of the expression.","Warning","12"
"PakCLI Table","1.0.40","Obsidian-Official-Community","Warnings","Promise returned in function argument where a void return was expected.","General / Release Assets","Promise returned in function argument where a void return was expected.","Warning","3"
"PakCLI Table","1.0.40","Obsidian-Official-Community","Warnings","Unexpected browser feature ""extended-system-fonts"" is not supported by Obsidian 1.5.8","General / Release Assets","Unexpected browser feature ""extended-system-fonts"" is not supported by Obsidian 1.5.8","Warning","3"
"PakCLI Table","1.0.40","Obsidian-Official-Community","Warnings","Empty block statement.","General / Release Assets","Empty block statement.","Warning","2"
"PakCLI Table","1.0.40","Obsidian-Official-Community","Warnings","Expected non-Promise value in a boolean conditional.","General / Release Assets","Expected non-Promise value in a boolean conditional.","Warning","2"
"PakCLI Table","1.0.40","Obsidian-Official-Community","Warnings","Promise-returning function provided to property where a void return was expected.","General / Release Assets","Promise-returning function provided to property where a void return was expected.","Warning","2"
"PakCLI Table","1.0.40","Obsidian-Official-Community","Warnings","Unexpected browser feature ""text-decoration"" is only partially supported by Obsidian 1.5.8","General / Release Assets","Unexpected browser feature ""text-decoration"" is only partially supported by Obsidian 1.5.8","Warning","1"
"PakCLI Table","1.0.40","Obsidian-Official-Community","Other","Vault Enumeration: Enumerates all files in the vault (vault.getFiles; getMarkdownFiles; etc.). Gives the plugin access to every file path in the vault.","General / Release Assets","Vault Enumeration: Enumerates all files in the vault (vault.getFiles; getMarkdownFiles; etc.). Gives the plugin access to every file path in the vault.","Info","1"
"PakCLI Table","1.0.40","Obsidian-Official-Community","Other","Clipboard Access: Reads or writes the system clipboard. May expose content copied from outside Obsidian.","General / Release Assets","Clipboard Access: Reads or writes the system clipboard. May expose content copied from outside Obsidian.","Info","1"
"PakCLI Table","1.0.40","Obsidian-Official-Community","Other","Dynamic Code Execution: Executes dynamically generated code via eval() or new Function(). Prevents full static analysis of plugin behavior.","General / Release Assets","Dynamic Code Execution: Executes dynamically generated code via eval() or new Function(). Prevents full static analysis of plugin behavior.","Info","1"
